Search,Type,X2018.04.08,X2018.04.15,X2018.04.22,X2018.04.29,X2018.05.06,X2018.05.13,X2018.05.20,X2018.05.27,X2018.06.03,X2018.06.10,X2018.06.17,X2018.06.24,X2018.07.01,X2018.07.08,X2018.07.15,X2018.07.22,X2018.07.29,X2018.08.05,X2018.08.12,X2018.08.19,X2018.08.26,X2018.09.02,X2018.09.09,X2018.09.16,X2018.09.23,X2018.09.30,X2018.10.07,X2018.10.14,X2018.10.21,X2018.10.28,X2018.11.04,X2018.11.11,X2018.11.18,X2018.11.25,X2018.12.02,X2018.12.09,X2018.12.16,X2018.12.23,X2018.12.30,X2019.01.06,X2019.01.13,X2019.01.20,X2019.01.27,X2019.02.03,X2019.02.10,X2019.02.17,X2019.02.24,X2019.03.03,X2019.03.10,X2019.03.17,X2019.03.24,X2019.03.31
Hank Williams,Musician,100,88,58,58,54,53,57,56,56,54,55,56,59,48,51,47,52,50,52,53,51,43,43,44,38,40,41,37,37,36,37,36,40,37,45,38,38,49,53,35,40,40,40,43,45,41,45,50,53,53,54,55
Frank Sinatra,Musician,61,59,69,57,58,82,75,61,62,66,64,61,58,97,91,64,73,57,64,61,65,65,61,77,68,62,67,63,57,61,59,59,72,77,85,100,77,89,68,56,53,52,52,56,64,55,54,58,51,57,55,48
Bo Diddley,Musician,100,66,65,92,76,92,62,64,74,85,55,99,99,80,55,84,73,72,55,67,61,77,67,88,55,86,86,61,97,69,73,55,89,63,88,63,69,73,87,54,76,88,73,70,73,94,94,78,66,87,69,81
Ray Charles,Musician,49,56,58,50,53,56,52,74,58,54,60,54,67,50,50,52,47,48,62,51,53,47,48,42,66,51,51,53,46,47,48,47,65,53,55,67,100,88,56,61,45,52,95,91,87,66,85,62,58,67,59,61
Little Richard,Musician,66,75,58,58,62,45,70,63,59,63,77,75,63,54,53,55,66,55,92,66,56,58,64,66,45,55,51,50,54,77,47,58,55,54,100,71,78,67,62,58,59,43,71,66,65,83,75,86,61,80,66,63
B.B. King,Musician,78,100,82,60,75,69,55,55,35,42,59,51,74,19,39,32,39,47,63,40,58,31,56,56,42,56,54,39,53,23,54,15,40,22,41,53,27,43,16,41,33,51,80,71,58,50,71,62,52,64,30,76
Buddy Holly,Musician,23,24,25,22,24,25,23,26,33,27,25,24,24,26,25,25,29,28,26,23,29,31,23,22,23,37,22,23,22,27,25,20,23,21,21,21,25,22,26,23,26,31,38,100,82,43,43,25,24,24,28,27
Sam Cooke,Musician,13,12,13,12,14,11,14,13,13,12,12,12,10,11,11,12,11,13,22,18,12,12,10,10,11,11,10,10,10,10,10,10,10,10,9,13,11,12,11,11,10,14,13,40,100,48,30,25,19,17,15,19
Elvis Presley,Musician,34,67,53,33,33,34,32,29,29,32,32,30,34,29,32,32,33,35,100,38,28,31,28,28,27,27,28,30,32,29,29,36,34,33,39,43,41,45,38,58,32,29,32,31,33,76,30,39,37,35,31,33
Johnny Cash,Musician,74,75,68,67,68,70,83,70,78,75,74,88,85,71,72,74,73,79,77,72,68,100,77,77,84,66,85,76,60,80,72,94,94,76,94,74,79,99,79,80,74,67,65,69,71,71,81,69,70,72,71,67
James Brown,Musician,30,37,30,35,30,30,32,29,32,25,28,29,28,24,26,29,31,29,34,34,34,30,28,34,31,27,28,32,28,27,29,26,47,30,34,31,37,50,42,29,30,28,30,100,40,31,31,29,31,23,25,25
Jerry Lee Lewis,Musician,33,32,36,31,37,30,39,43,31,36,36,41,35,30,34,39,33,56,48,44,35,50,41,53,47,39,35,37,28,37,47,44,44,29,31,34,31,46,71,96,48,51,59,34,39,43,100,98,51,66,41,41
Smokey Robinson & The Miracles,Musician,0,28,28,28,29,29,89,30,0,0,59,30,0,30,0,30,30,30,30,30,30,29,0,29,0,29,29,0,0,0,0,57,30,0,0,28,87,49,0,28,0,28,41,40,0,0,27,0,28,0,29,100
Chuck Berry,Musician,38,40,42,42,48,46,41,44,44,43,44,40,39,39,35,40,40,39,44,42,39,44,41,35,37,34,38,49,38,43,40,45,40,45,55,67,72,62,45,63,38,45,41,50,64,65,56,39,49,49,50,100
Aretha Franklin,Musician,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,14,34,9,2,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,2,1,1,0
